provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;6;4;30;28006004_30_59;2021;9;6;0.4;V;0.3;V;0.2;V;0.2;V;0.1;V;0.2;V;0.2;V;0.3;V;0.2;V;0.3;V;0.5;V;0.2;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.2;V;0.1;V;0.1;V;0.1;V;0.2;V
28;6;4;42;28006004_42_2;2021;9;6;1.8;V;1.5;V;1.5;V;1.5;V;1.4;V;1.5;V;1.4;V;1.5;V;;N;;N;;N;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.4;V;1.3;V;1.3;V;1.4;V;1.4;V
28;6;4;44;28006004_44_2;2021;9;6;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;;N;;N;;N;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;6;4;431;28006004_431_59;2021;9;6;1.8;V;1.9;V;0.5;V;0.3;V;0.1;V;0.3;V;0.2;V;0.7;V;0.4;V;0.6;V;2;V;0.5;V;0.8;V;0.3;V;0.2;V;0.1;V;0.3;V;0.3;V;0.5;V;0.1;V;0.1;V;0.2;V;0.1;V;0.6;V
28;65;14;7;28065014_7_8;2021;9;6;20;V;9;V;2;V;1;V;3;V;3;V;4;V;6;V;10;V;7;V;7;V;2;V;2;V;3;V;3;V;2;V;3;V;5;V;4;V;2;V;2;V;2;V;1;V;1;V
28;65;14;8;28065014_8_8;2021;9;6;81;V;72;V;46;V;27;V;33;V;52;V;49;V;43;V;41;V;31;V;29;V;11;V;10;V;13;V;12;V;13;V;23;V;27;V;29;V;26;V;19;V;13;V;19;V;16;V
28;65;14;9;28065014_9_49;2021;9;6;19;V;18;V;20;V;13;V;11;V;11;V;12;V;9;V;12;V;12;V;12;V;6;V;7;V;7;V;5;V;8;V;9;V;8;V;12;V;8;V;12;V;8;V;9;V;8;V
28;65;14;10;28065014_10_49;2021;9;6;34;V;32;V;28;V;30;V;24;V;21;V;23;V;24;V;27;V;29;V;30;V;23;V;18;V;16;V;11;V;16;V;26;V;30;V;33;V;31;V;26;V;20;V;19;V;21;V
28;65;14;12;28065014_12_8;2021;9;6;112;V;86;V;49;V;30;V;37;V;57;V;55;V;52;V;56;V;42;V;39;V;14;V;13;V;17;V;17;V;16;V;28;V;35;V;35;V;29;V;22;V;16;V;21;V;18;V
28;65;14;14;28065014_14_6;2021;9;6;2;V;5;V;21;V;35;V;30;V;20;V;25;V;32;V;29;V;43;V;51;V;66;V;70;V;76;V;84;V;75;V;56;V;47;V;49;V;50;V;58;V;63;V;53;V;64;V
28;67;1;7;28067001_7_8;2021;9;6;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;67;1;8;28067001_8_8;2021;9;6;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;3;V
28;67;1;10;28067001_10_49;2021;9;6;19;V;15;V;16;V;9;V;13;V;18;V;21;V;25;V;26;V;24;V;21;V;33;V;30;V;19;V;31;V;23;V;19;V;23;V;31;V;28;V;26;V;19;V;21;V;25;V
28;67;1;12;28067001_12_8;2021;9;6;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;6;V;5;V
28;67;1;14;28067001_14_6;2021;9;6;45;V;38;V;30;V;27;V;24;V;24;V;15;V;29;V;53;V;59;V;73;V;83;V;93;V;95;V;101;V;98;V;95;V;60;V;41;V;39;V;32;V;35;V;33;V;32;V
28;7;4;7;28007004_7_8;2021;9;6;3;V;2;V;2;V;2;V;2;V;2;V;4;V;4;V;;N;;N;;N;;N;;N;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;7;4;8;28007004_8_8;2021;9;6;52;V;43;V;34;V;18;V;20;V;35;V;49;V;40;V;;N;;N;;N;;N;;N;12;V;10;V;13;V;19;V;29;V;28;V;41;V;33;V;26;V;28;V;17;V
28;7;4;9;28007004_9_49;2021;9;6;14;V;12;V;13;V;14;V;14;V;12;V;11;V;12;V;12;V;15;V;15;V;11;V;10;V;8;V;10;V;9;V;8;V;9;V;11;V;11;V;5;V;4;V;6;V;8;V
28;7;4;12;28007004_12_8;2021;9;6;56;V;46;V;37;V;21;V;23;V;38;V;54;V;46;V;;N;;N;;N;;N;;N;15;V;13;V;15;V;22;V;32;V;31;V;44;V;36;V;29;V;31;V;20;V
28;7;4;14;28007004_14_6;2021;9;6;30;V;35;V;37;V;47;V;48;V;37;V;32;V;40;V;;N;;N;;N;;N;;N;71;V;78;V;73;V;59;V;45;V;47;V;38;V;46;V;54;V;53;V;68;V
28;74;7;7;28074007_7_8;2021;9;6;12;V;9;V;2;V;2;V;4;V;;N;;N;8;V;11;V;10;V;9;V;4;V;5;V;3;V;3;V;2;V;3;V;4;V;2;V;4;V;3;V;2;V;1;V;2;V
28;74;7;8;28074007_8_8;2021;9;6;90;V;74;V;56;V;33;V;34;V;;N;;N;51;V;45;V;38;V;38;V;22;V;19;V;15;V;13;V;16;V;27;V;35;V;31;V;37;V;31;V;29;V;30;V;40;V
28;74;7;9;28074007_9_49;2021;9;6;18;V;16;V;19;V;19;V;11;V;8;V;11;V;9;V;17;V;10;V;8;V;12;V;4;V;8;V;8;V;9;V;9;V;11;V;14;V;12;V;12;V;10;V;6;V;11;V
28;74;7;10;28074007_10_49;2021;9;6;32;V;25;V;23;V;32;V;20;V;18;V;27;V;24;V;31;V;25;V;25;V;29;V;21;V;15;V;13;V;22;V;30;V;37;V;38;V;34;V;26;V;26;V;27;V;23;V
28;74;7;12;28074007_12_8;2021;9;6;108;V;88;V;59;V;37;V;40;V;;N;;N;64;V;62;V;53;V;51;V;29;V;27;V;20;V;17;V;19;V;33;V;41;V;34;V;44;V;35;V;32;V;32;V;43;V
28;74;7;14;28074007_14_6;2021;9;6;1;V;6;V;16;V;34;V;39;V;;N;;N;;N;34;V;46;V;47;V;60;V;66;V;79;V;88;V;79;V;58;V;46;V;53;V;47;V;52;V;51;V;49;V;44;V
28;80;3;7;28080003_7_8;2021;9;6;2;V;1;V;2;V;2;V;2;V;2;V;4;V;5;V;5;V;7;V;5;V;5;V;6;V;4;V;4;V;4;V;2;V;3;V;3;V;2;V;2;V;1;V;2;V;2;V
28;80;3;8;28080003_8_8;2021;9;6;17;V;11;V;14;V;12;V;15;V;23;V;25;V;20;V;18;V;25;V;17;V;23;V;24;V;16;V;16;V;18;V;18;V;33;V;37;V;33;V;19;V;12;V;17;V;16;V
28;80;3;10;28080003_10_49;2021;9;6;18;V;18;V;20;V;19;V;19;V;17;V;19;V;17;V;15;V;16;V;18;V;17;V;20;V;21;V;19;V;19;V;25;V;29;V;31;V;34;V;31;V;26;V;22;V;20;V
28;80;3;12;28080003_12_8;2021;9;6;19;V;13;V;17;V;15;V;17;V;27;V;31;V;28;V;25;V;35;V;25;V;31;V;33;V;22;V;22;V;23;V;21;V;38;V;42;V;36;V;22;V;14;V;20;V;18;V
28;80;3;14;28080003_14_6;2021;9;6;68;V;67;V;63;V;59;V;58;V;52;V;52;V;54;V;55;V;51;V;63;V;61;V;62;V;73;V;81;V;77;V;66;V;46;V;39;V;45;V;58;V;65;V;59;V;56;V
28;9;1;7;28009001_7_8;2021;9;6;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;;N;;N;2;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;9;1;8;28009001_8_8;2021;9;6;9;V;10;V;6;V;9;V;10;V;12;V;12;V;10;V;;N;;N;7;V;10;V;9;V;6;V;7;V;9;V;10;V;17;V;13;V;10;V;7;V;5;V;5;V;6;V
28;9;1;9;28009001_9_49;2021;9;6;16;V;15;V;12;V;11;V;15;V;16;V;17;V;11;V;7;V;3;V;3;V;2;V;4;V;10;V;9;V;8;V;10;V;11;V;14;V;14;V;13;V;11;V;9;V;9;V
28;9;1;12;28009001_12_8;2021;9;6;11;V;12;V;8;V;11;V;12;V;14;V;15;V;13;V;;N;;N;11;V;15;V;13;V;8;V;9;V;11;V;12;V;19;V;15;V;12;V;9;V;7;V;7;V;8;V
28;9;1;14;28009001_14_6;2021;9;6;76;V;67;V;77;V;60;V;52;V;50;V;47;V;56;V;61;V;65;V;;N;;N;79;V;81;V;84;V;80;V;68;V;53;V;53;V;59;V;68;V;73;V;76;V;74;V
28;92;5;1;28092005_1_38;2021;9;6;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;92;5;6;28092005_6_48;2021;9;6;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.3;V;0.4;V;0.4;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V
28;92;5;7;28092005_7_8;2021;9;6;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;5;V;5;V;4;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;92;5;8;28092005_8_8;2021;9;6;53;V;47;V;39;V;24;V;22;V;37;V;45;V;43;V;42;V;39;V;34;V;30;V;16;V;13;V;13;V;14;V;18;V;31;V;27;V;29;V;19;V;18;V;13;V;14;V
28;92;5;10;28092005_10_49;2021;9;6;23;V;23;V;26;V;27;V;22;V;20;V;22;V;23;V;21;V;24;V;18;V;27;V;23;V;17;V;16;V;20;V;27;V;32;V;37;V;34;V;26;V;20;V;21;V;25;V
28;92;5;12;28092005_12_8;2021;9;6;55;V;49;V;41;V;26;V;24;V;39;V;47;V;48;V;50;V;47;V;40;V;34;V;19;V;15;V;15;V;16;V;20;V;33;V;29;V;31;V;21;V;20;V;15;V;16;V
28;92;5;14;28092005_14_6;2021;9;6;35;V;35;V;36;V;44;V;46;V;37;V;35;V;38;V;38;V;41;V;49;V;50;V;65;V;76;V;83;V;81;V;65;V;49;V;54;V;54;V;64;V;66;V;75;V;72;V
28;102;1;1;28102001_1_38;2021;9;7;3;V;2;V;3;V;3;V;3;V;2;V;2;V;2;V;;N;;N;;N;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;3;V;6;V;3;V
28;102;1;6;28102001_6_48;2021;9;7;0.5;V;0.6;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;;N;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.5;V;0.5;V
28;102;1;7;28102001_7_8;2021;9;7;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;;N;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2021;9;7;4;V;4;V;4;V;3;V;3;V;3;V;3;V;3;V;5;V;8;V;;N;5;V;4;V;3;V;3;V;3;V;3;V;3;V;4;V;5;V;7;V;12;V;13;V;10;V
28;102;1;10;28102001_10_49;2021;9;7;17;V;19;V;17;V;18;V;16;V;17;V;16;V;;N;10;V;20;V;21;V;18;V;27;V;29;V;29;V;30;V;34;V;36;V;36;V;40;V;37;V;30;V;36;V;37;V
28;102;1;12;28102001_12_8;2021;9;7;6;V;6;V;6;V;5;V;5;V;5;V;5;V;6;V;8;V;11;V;;N;7;V;6;V;5;V;5;V;5;V;5;V;5;V;6;V;7;V;9;V;14;V;15;V;12;V
28;102;1;14;28102001_14_6;2021;9;7;84;V;82;V;82;V;81;V;82;V;83;V;83;V;;N;;N;76;V;77;V;87;V;92;V;97;V;99;V;99;V;99;V;98;V;95;V;93;V;89;V;74;V;72;V;67;V
28;120;1;7;28120001_7_8;2021;9;7;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;;N;;N;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;120;1;8;28120001_8_8;2021;9;7;3;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;;N;;N;4;V;4;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;2;V;2;V;2;V;3;V
28;120;1;9;28120001_9_49;2021;9;7;9;V;9;V;8;V;10;V;8;V;7;V;7;V;7;V;6;V;6;V;6;V;7;V;7;V;7;V;7;V;8;V;8;V;8;V;6;V;7;V;7;V;6;V;4;V;4;V
28;120;1;10;28120001_10_49;2021;9;7;29;V;28;V;24;V;25;V;22;V;22;V;22;V;22;V;22;V;22;V;22;V;22;V;24;V;23;V;22;V;21;V;20;V;21;V;21;V;22;V;23;V;19;V;15;V;14;V
28;120;1;12;28120001_12_8;2021;9;7;5;V;5;V;5;V;4;V;4;V;4;V;4;V;4;V;4;V;;N;;N;6;V;6;V;4;V;4;V;4;V;4;V;4;V;4;V;5;V;4;V;4;V;4;V;5;V
28;120;1;14;28120001_14_6;2021;9;7;91;V;91;V;90;V;91;V;91;V;91;V;90;V;89;V;91;V;;N;;N;103;V;106;V;103;V;109;V;109;V;107;V;105;V;101;V;97;V;93;V;88;V;83;V;79;V
28;123;2;7;28123002_7_8;2021;9;7;1;V;1;V;1;V;2;V;4;V;29;V;44;V;99;V;29;V;10;V;4;V;2;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;3;V;6;V;9;V;4;V;2;V
28;123;2;8;28123002_8_8;2021;9;7;6;V;10;V;9;V;14;V;19;V;61;V;62;V;77;V;55;V;33;V;16;V;9;V;5;V;4;V;5;V;7;V;16;V;25;V;41;V;57;V;62;V;66;V;63;V;44;V
28;123;2;10;28123002_10_49;2021;9;7;16;V;20;V;22;V;20;V;18;V;28;V;39;V;56;V;55;V;42;V;32;V;24;V;21;V;19;V;23;V;24;V;28;V;24;V;24;V;28;V;35;V;44;V;48;V;44;V
28;123;2;12;28123002_12_8;2021;9;7;8;V;12;V;11;V;18;V;24;V;106;V;130;V;228;V;99;V;48;V;22;V;12;V;7;V;6;V;7;V;9;V;19;V;28;V;44;V;62;V;71;V;80;V;69;V;46;V
28;123;2;14;28123002_14_6;2021;9;7;88;V;69;V;56;V;48;V;54;V;12;V;17;V;7;V;24;V;49;V;70;V;88;V;100;V;104;V;109;V;104;V;86;V;82;V;65;V;51;V;32;V;16;V;14;V;29;V
28;13;2;7;28013002_7_8;2021;9;7;1;V;1;V;1;V;1;V;1;V;1;V;2;V;6;V;3;V;3;V;3;V;3;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V
28;13;2;8;28013002_8_8;2021;9;7;4;V;4;V;3;V;6;V;6;V;6;V;18;V;31;V;16;V;13;V;12;V;11;V;7;V;5;V;7;V;8;V;13;V;20;V;48;V;41;V;23;V;19;V;12;V;9;V
28;13;2;10;28013002_10_49;2021;9;7;19;V;20;V;25;V;24;V;21;V;17;V;17;V;25;V;25;V;27;V;27;V;25;V;23;V;19;V;21;V;31;V;37;V;35;V;34;V;35;V;39;V;37;V;34;V;31;V
28;13;2;12;28013002_12_8;2021;9;7;6;V;6;V;5;V;8;V;8;V;8;V;21;V;40;V;21;V;18;V;17;V;15;V;9;V;7;V;9;V;11;V;16;V;23;V;51;V;43;V;25;V;21;V;14;V;11;V
28;13;2;14;28013002_14_6;2021;9;7;79;V;75;V;73;V;63;V;64;V;64;V;50;V;39;V;51;V;57;V;67;V;90;V;107;V;108;V;97;V;91;V;84;V;82;V;52;V;54;V;62;V;61;V;62;V;58;V
28;133;2;7;28133002_7_8;2021;9;7;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;133;2;8;28133002_8_8;2021;9;7;7;V;8;V;7;V;6;V;7;V;10;V;10;V;11;V;9;V;6;V;4;V;5;V;3;V;3;V;2;V;2;V;2;V;2;V;4;V;8;V;5;V;4;V;3;V;3;V
28;133;2;10;28133002_10_49;2021;9;7;26;V;22;V;23;V;23;V;22;V;21;V;24;V;26;V;30;V;31;V;30;V;27;V;23;V;23;V;22;V;20;V;19;V;19;V;15;V;15;V;17;V;16;V;13;V;14;V
28;133;2;12;28133002_12_8;2021;9;7;9;V;10;V;9;V;8;V;9;V;12;V;13;V;14;V;11;V;8;V;6;V;7;V;5;V;5;V;4;V;4;V;4;V;4;V;6;V;10;V;7;V;6;V;5;V;5;V
28;133;2;14;28133002_14_6;2021;9;7;74;V;71;V;75;V;76;V;72;V;68;V;66;V;66;V;71;V;89;V;100;V;108;V;112;V;118;V;112;V;107;V;103;V;101;V;95;V;84;V;85;V;74;V;72;V;71;V
28;14;2;7;28014002_7_8;2021;9;7;1;V;1;V;1;V;1;V;4;V;1;V;3;V;9;V;10;V;10;V;8;V;3;V;1;V;1;V;1;V;1;V;2;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V
28;14;2;8;28014002_8_8;2021;9;7;6;V;8;V;11;V;15;V;22;V;33;V;27;V;35;V;36;V;36;V;26;V;9;V;8;V;5;V;4;V;7;V;9;V;15;V;24;V;37;V;36;V;29;V;19;V;14;V
28;14;2;10;28014002_10_49;2021;9;7;27;V;29;V;50;V;48;V;39;V;29;V;26;V;22;V;42;V;41;V;40;V;36;V;33;V;30;V;25;V;30;V;34;V;35;V;32;V;36;V;33;V;37;V;34;V;30;V
28;14;2;12;28014002_12_8;2021;9;7;8;V;10;V;13;V;17;V;28;V;35;V;31;V;49;V;51;V;51;V;38;V;13;V;10;V;7;V;6;V;9;V;12;V;19;V;27;V;39;V;38;V;31;V;21;V;16;V
28;14;2;14;28014002_14_6;2021;9;7;88;V;77;V;65;V;51;V;42;V;42;V;53;V;44;V;35;V;43;V;61;V;87;V;96;V;101;V;105;V;101;V;87;V;86;V;77;V;48;V;36;V;38;V;59;V;57;V
28;148;4;7;28148004_7_8;2021;9;7;1;V;1;V;1;V;1;V;1;V;2;V;39;V;47;V;25;V;7;V;5;V;3;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;11;V;4;V;2;V;2;V
28;148;4;8;28148004_8_8;2021;9;7;6;V;8;V;22;V;30;V;29;V;33;V;70;V;71;V;54;V;32;V;20;V;11;V;8;V;7;V;7;V;8;V;15;V;15;V;25;V;44;V;73;V;75;V;50;V;35;V
28;148;4;9;28148004_9_49;2021;9;7;10;V;9;V;9;V;9;V;9;V;9;V;12;V;16;V;18;V;18;V;14;V;15;V;8;V;8;V;8;V;8;V;6;V;6;V;3;V;1;V;2;V;8;V;13;V;16;V
28;148;4;10;28148004_10_49;2021;9;7;17;V;19;V;21;V;22;V;21;V;18;V;25;V;27;V;33;V;37;V;38;V;36;V;34;V;30;V;29;V;31;V;31;V;29;V;28;V;28;V;34;V;54;V;51;V;44;V
28;148;4;12;28148004_12_8;2021;9;7;8;V;10;V;24;V;32;V;31;V;36;V;129;V;142;V;92;V;42;V;28;V;16;V;11;V;10;V;10;V;11;V;18;V;18;V;27;V;46;V;89;V;81;V;53;V;38;V
28;148;4;14;28148004_14_6;2021;9;7;87;V;79;V;52;V;35;V;48;V;41;V;9;V;9;V;27;V;57;V;68;V;92;V;105;V;105;V;108;V;108;V;91;V;92;V;82;V;57;V;25;V;13;V;22;V;34;V
28;16;1;1;28016001_1_38;2021;9;7;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;16;1;6;28016001_6_48;2021;9;7;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V
28;16;1;7;28016001_7_8;2021;9;7;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;16;1;8;28016001_8_8;2021;9;7;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;4;V;4;V;4;V;6;V;8;V;6;V;6;V;5;V;4;V;4;V;4;V;3;V;4;V;4;V
28;16;1;9;28016001_9_49;2021;9;7;11;V;9;V;8;V;6;V;5;V;8;V;9;V;9;V;9;V;7;V;5;V;5;V;5;V;13;V;11;V;10;V;11;V;9;V;13;V;15;V;11;V;9;V;7;V;10;V
28;16;1;10;28016001_10_49;2021;9;7;21;V;14;V;17;V;19;V;21;V;21;V;20;V;21;V;22;V;24;V;23;V;21;V;19;V;21;V;23;V;24;V;26;V;30;V;29;V;30;V;29;V;25;V;24;V;25;V
28;16;1;12;28016001_12_8;2021;9;7;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;6;V;6;V;6;V;6;V;8;V;10;V;8;V;8;V;7;V;6;V;6;V;6;V;5;V;6;V;6;V
28;16;1;14;28016001_14_6;2021;9;7;83;V;87;V;88;V;88;V;88;V;86;V;86;V;84;V;81;V;83;V;90;V;96;V;104;V;117;V;124;V;124;V;123;V;117;V;111;V;105;V;103;V;99;V;93;V;87;V
28;16;1;20;28016001_20_59;2021;9;7;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.3;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;16;1;30;28016001_30_59;2021;9;7;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;16;1;42;28016001_42_2;2021;9;7;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V
28;16;1;44;28016001_44_2;2021;9;7;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;16;1;431;28016001_431_59;2021;9;7;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;161;1;7;28161001_7_8;2021;9;7;1;V;1;V;1;V;1;V;2;V;2;V;2;V;5;V;10;V;8;V;7;V;4;V;2;V;2;V;;N;;N;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;161;1;8;28161001_8_8;2021;9;7;14;V;15;V;18;V;26;V;54;V;47;V;35;V;33;V;43;V;32;V;24;V;18;V;9;V;9;V;;N;;N;8;V;9;V;19;V;26;V;22;V;15;V;8;V;6;V
28;161;1;9;28161001_9_49;2021;9;7;12;V;12;V;13;V;16;V;15;V;16;V;13;V;12;V;8;V;10;V;12;V;13;V;15;V;14;V;14;V;17;V;17;V;12;V;9;V;13;V;17;V;18;V;16;V;13;V
28;161;1;12;28161001_12_8;2021;9;7;16;V;17;V;21;V;28;V;57;V;49;V;38;V;41;V;58;V;43;V;35;V;24;V;12;V;12;V;;N;;N;10;V;11;V;21;V;28;V;24;V;17;V;11;V;8;V
28;161;1;14;28161001_14_6;2021;9;7;73;V;55;V;45;V;34;V;19;V;30;V;42;V;46;V;39;V;50;V;64;V;79;V;96;V;101;V;;N;;N;89;V;92;V;79;V;65;V;65;V;68;V;65;V;64;V
28;171;1;1;28171001_1_38;2021;9;7;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;171;1;6;28171001_6_48;2021;9;7;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V
28;171;1;7;28171001_7_8;2021;9;7;1;V;2;V;1;V;1;V;1;V;2;V;4;V;;N;;N;2;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;171;1;8;28171001_8_8;2021;9;7;12;V;13;V;11;V;10;V;9;V;13;V;21;V;;N;;N;8;V;4;V;5;V;3;V;2;V;2;V;2;V;2;V;2;V;3;V;4;V;4;V;5;V;6;V;8;V
28;171;1;9;28171001_9_49;2021;9;7;16;V;18;V;17;V;15;V;13;V;12;V;14;V;10;V;5;V;3;V;6;V;10;V;12;V;11;V;7;V;12;V;11;V;14;V;17;V;18;V;17;V;15;V;11;V;10;V
28;171;1;10;28171001_10_49;2021;9;7;31;V;26;V;24;V;23;V;25;V;24;V;29;V;31;V;29;V;22;V;27;V;29;V;30;V;28;V;25;V;29;V;26;V;27;V;31;V;29;V;26;V;24;V;16;V;15;V
28;171;1;12;28171001_12_8;2021;9;7;14;V;16;V;13;V;12;V;11;V;16;V;27;V;;N;;N;11;V;6;V;9;V;5;V;4;V;4;V;4;V;4;V;4;V;5;V;6;V;6;V;7;V;8;V;10;V
28;171;1;14;28171001_14_6;2021;9;7;56;V;52;V;53;V;54;V;54;V;43;V;34;V;37;V;56;V;;N;;N;;N;115;V;116;V;112;V;109;V;110;V;107;V;98;V;92;V;83;V;72;V;61;V;57;V
28;180;1;7;28180001_7_8;2021;9;7;1;V;1;V;1;V;1;V;1;V;3;V;4;V;5;V;3;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;7;V;2;V;1;V;1;V;1;V
28;180;1;8;28180001_8_8;2021;9;7;6;V;5;V;10;V;12;V;24;V;47;V;48;V;36;V;19;V;8;V;6;V;6;V;6;V;5;V;5;V;4;V;7;V;11;V;21;V;60;V;41;V;18;V;13;V;11;V
28;180;1;9;28180001_9_49;2021;9;7;18;V;17;V;14;V;15;V;17;V;15;V;16;V;18;V;15;V;13;V;15;V;16;V;15;V;18;V;19;V;26;V;28;V;29;V;29;V;33;V;34;V;27;V;24;V;19;V
